Date,Hour,Fuel,Output
2017-01-04,12,NUCLEAR,11583
2017-01-04,12,GAS,489
2017-01-04,12,HYDRO,3676
2017-01-04,12,WIND,3165
2017-01-04,12,SOLAR,62
2017-01-04,12,BIOFUEL,34
2017-01-04,13,NUCLEAR,11587
2017-01-04,13,GAS,501
2017-01-04,13,HYDRO,3731
2017-01-04,13,WIND,3274
2017-01-04,13,SOLAR,26
2017-01-04,13,BIOFUEL,30
2017-01-04,14,NUCLEAR,11430
2017-01-04,14,GAS,504
2017-01-04,14,HYDRO,3703
2017-01-04,14,WIND,3481
2017-01-04,14,SOLAR,39
2017-01-04,14,BIOFUEL,38
2017-01-04,15,NUCLEAR,11507
2017-01-04,15,GAS,503
2017-01-04,15,HYDRO,3795
2017-01-04,15,WIND,3581
2017-01-04,15,SOLAR,24
2017-01-04,15,BIOFUEL,34
2017-01-04,16,NUCLEAR,11594
2017-01-04,16,GAS,503
2017-01-04,16,HYDRO,3744
2017-01-04,16,WIND,3737
2017-01-04,16,SOLAR,14
2017-01-04,16,BIOFUEL,36
2017-01-04,17,NUCLEAR,11601
2017-01-04,17,GAS,504
2017-01-04,17,HYDRO,4174
2017-01-04,17,WIND,3795
2017-01-04,17,SOLAR,1
2017-01-04,17,BIOFUEL,31
2017-01-04,18,NUCLEAR,11596
2017-01-04,18,GAS,504
2017-01-04,18,HYDRO,5007
2017-01-04,18,WIND,3876
2017-01-04,18,SOLAR,0
2017-01-04,18,BIOFUEL,28
2017-01-04,19,NUCLEAR,11595
2017-01-04,19,GAS,509
2017-01-04,19,HYDRO,5077
2017-01-04,19,WIND,3911
2017-01-04,19,SOLAR,0
2017-01-04,19,BIOFUEL,27
2017-01-04,20,NUCLEAR,11595
2017-01-04,20,GAS,509
2017-01-04,20,HYDRO,4803
2017-01-04,20,WIND,3849
2017-01-04,20,SOLAR,0
2017-01-04,20,BIOFUEL,26
2017-01-04,21,NUCLEAR,11590
2017-01-04,21,GAS,510
2017-01-04,21,HYDRO,4643
2017-01-04,21,WIND,3770
2017-01-04,21,SOLAR,0
2017-01-04,21,BIOFUEL,26
2017-01-04,22,NUCLEAR,11583
2017-01-04,22,GAS,540
2017-01-04,22,HYDRO,4028
2017-01-04,22,WIND,3781
2017-01-04,22,SOLAR,0
2017-01-04,22,BIOFUEL,26
2017-01-04,23,NUCLEAR,11081
2017-01-04,23,GAS,573
2017-01-04,23,HYDRO,3880
2017-01-04,23,WIND,3655
2017-01-04,23,SOLAR,0
2017-01-04,23,BIOFUEL,26
2017-01-04,24,NUCLEAR,11079
2017-01-04,24,GAS,511
2017-01-04,24,HYDRO,3233
2017-01-04,24,WIND,3540
2017-01-04,24,SOLAR,0
2017-01-04,24,BIOFUEL,18
2017-01-05,1,NUCLEAR,11090
2017-01-05,1,GAS,515
2017-01-05,1,HYDRO,2873
2017-01-05,1,WIND,3468
2017-01-05,1,SOLAR,0
2017-01-05,1,BIOFUEL,15
2017-01-05,2,NUCLEAR,11093
2017-01-05,2,GAS,518
2017-01-05,2,HYDRO,2657
2017-01-05,2,WIND,3158
2017-01-05,2,SOLAR,0
2017-01-05,2,BIOFUEL,14
2017-01-05,3,NUCLEAR,11096
2017-01-05,3,GAS,565
2017-01-05,3,HYDRO,2726
2017-01-05,3,WIND,2898
2017-01-05,3,SOLAR,0
2017-01-05,3,BIOFUEL,14
2017-01-05,4,NUCLEAR,11095
2017-01-05,4,GAS,566
2017-01-05,4,HYDRO,2747
2017-01-05,4,WIND,2727
2017-01-05,4,SOLAR,0
2017-01-05,4,BIOFUEL,13
2017-01-05,5,NUCLEAR,11093
2017-01-05,5,GAS,598
2017-01-05,5,HYDRO,2706
2017-01-05,5,WIND,2542
2017-01-05,5,SOLAR,0
2017-01-05,5,BIOFUEL,14
2017-01-05,6,NUCLEAR,11088
2017-01-05,6,GAS,659
2017-01-05,6,HYDRO,3003
2017-01-05,6,WIND,2487
2017-01-05,6,SOLAR,0
2017-01-05,6,BIOFUEL,16
2017-01-05,7,NUCLEAR,11087
2017-01-05,7,GAS,783
2017-01-05,7,HYDRO,3281
2017-01-05,7,WIND,2399
2017-01-05,7,SOLAR,0
2017-01-05,7,BIOFUEL,21
2017-01-05,8,NUCLEAR,11089
2017-01-05,8,GAS,880
2017-01-05,8,HYDRO,4076
2017-01-05,8,WIND,2621
2017-01-05,8,SOLAR,0
2017-01-05,8,BIOFUEL,26
2017-01-05,9,NUCLEAR,11091
2017-01-05,9,GAS,900
2017-01-05,9,HYDRO,4796
2017-01-05,9,WIND,2647
2017-01-05,9,SOLAR,19
2017-01-05,9,BIOFUEL,25
2017-01-05,10,NUCLEAR,11095
2017-01-05,10,GAS,1014
2017-01-05,10,HYDRO,4847
2017-01-05,10,WIND,2646
2017-01-05,10,SOLAR,59
2017-01-05,10,BIOFUEL,25
2017-01-05,11,NUCLEAR,11092
2017-01-05,11,GAS,923
2017-01-05,11,HYDRO,4517
2017-01-05,11,WIND,2865
2017-01-05,11,SOLAR,51
2017-01-05,11,BIOFUEL,27
2017-01-05,12,NUCLEAR,11099
2017-01-05,12,GAS,971
2017-01-05,12,HYDRO,4437
2017-01-05,12,WIND,3028
2017-01-05,12,SOLAR,56
2017-01-05,12,BIOFUEL,25
2017-01-05,13,NUCLEAR,11101
2017-01-05,13,GAS,985
2017-01-05,13,HYDRO,4393
2017-01-05,13,WIND,2769
2017-01-05,13,SOLAR,78
2017-01-05,13,BIOFUEL,26
2017-01-05,14,NUCLEAR,11103
2017-01-05,14,GAS,717
2017-01-05,14,HYDRO,4628
2017-01-05,14,WIND,2618
2017-01-05,14,SOLAR,66
2017-01-05,14,BIOFUEL,26
2017-01-05,15,NUCLEAR,11105
2017-01-05,15,GAS,707
2017-01-05,15,HYDRO,4473
2017-01-05,15,WIND,2592
2017-01-05,15,SOLAR,46
2017-01-05,15,BIOFUEL,26
2017-01-05,16,NUCLEAR,11103
2017-01-05,16,GAS,840
2017-01-05,16,HYDRO,4674
2017-01-05,16,WIND,2572
2017-01-05,16,SOLAR,18
2017-01-05,16,BIOFUEL,25
2017-01-05,17,NUCLEAR,11103
2017-01-05,17,GAS,1102
2017-01-05,17,HYDRO,4649
2017-01-05,17,WIND,2390
2017-01-05,17,SOLAR,3
2017-01-05,17,BIOFUEL,25
2017-01-05,18,NUCLEAR,11101
2017-01-05,18,GAS,1483
2017-01-05,18,HYDRO,5693
2017-01-05,18,WIND,2184
2017-01-05,18,SOLAR,1
2017-01-05,18,BIOFUEL,26
2017-01-05,19,NUCLEAR,11101
2017-01-05,19,GAS,1380
2017-01-05,19,HYDRO,5874
2017-01-05,19,WIND,2132
2017-01-05,19,SOLAR,1
2017-01-05,19,BIOFUEL,26
2017-01-05,20,NUCLEAR,11100
2017-01-05,20,GAS,1284
2017-01-05,20,HYDRO,5962
2017-01-05,20,WIND,2109
2017-01-05,20,SOLAR,1
2017-01-05,20,BIOFUEL,26
2017-01-05,21,NUCLEAR,11098
2017-01-05,21,GAS,1126
2017-01-05,21,HYDRO,5283
2017-01-05,21,WIND,2149
2017-01-05,21,SOLAR,1
2017-01-05,21,BIOFUEL,26
2017-01-05,22,NUCLEAR,11097
2017-01-05,22,GAS,1135
2017-01-05,22,HYDRO,4737
2017-01-05,22,WIND,2037
2017-01-05,22,SOLAR,1
2017-01-05,22,BIOFUEL,27
2017-01-05,23,NUCLEAR,11096
2017-01-05,23,GAS,1146
2017-01-05,23,HYDRO,4148
2017-01-05,23,WIND,1956
2017-01-05,23,SOLAR,1
2017-01-05,23,BIOFUEL,26
2017-01-05,24,NUCLEAR,11101
2017-01-05,24,GAS,970
2017-01-05,24,HYDRO,3829
2017-01-05,24,WIND,1816
2017-01-05,24,SOLAR,1
2017-01-05,24,BIOFUEL,17
2017-01-06,1,NUCLEAR,11095
2017-01-06,1,GAS,647
2017-01-06,1,HYDRO,3473
2017-01-06,1,WIND,1547
2017-01-06,1,SOLAR,1
2017-01-06,1,BIOFUEL,14
2017-01-06,2,NUCLEAR,11105
2017-01-06,2,GAS,616
2017-01-06,2,HYDRO,3341
2017-01-06,2,WIND,1452
2017-01-06,2,SOLAR,1
2017-01-06,2,BIOFUEL,13
2017-01-06,3,NUCLEAR,11106
2017-01-06,3,GAS,862
2017-01-06,3,HYDRO,3397
2017-01-06,3,WIND,1173
2017-01-06,3,SOLAR,1
2017-01-06,3,BIOFUEL,12
2017-01-06,4,NUCLEAR,11109
2017-01-06,4,GAS,1100
2017-01-06,4,HYDRO,3277
2017-01-06,4,WIND,1132
2017-01-06,4,SOLAR,1
2017-01-06,4,BIOFUEL,14
2017-01-06,5,NUCLEAR,11113
2017-01-06,5,GAS,1243
2017-01-06,5,HYDRO,3260
2017-01-06,5,WIND,1320
2017-01-06,5,SOLAR,1
2017-01-06,5,BIOFUEL,15
2017-01-06,6,NUCLEAR,11108
2017-01-06,6,GAS,1413
2017-01-06,6,HYDRO,3048
2017-01-06,6,WIND,1211
2017-01-06,6,SOLAR,1
